segment,roi,untargeted_roi,roi_improvement_factor
Sleeping,41.5,28.93,1.43
Loyal,146.6,102.96,1.42
New,N/A,N/A,1.0
Premium,N/A,N/A,1.0
Lost,4.05,2.55,1.58
High_Check,N/A,N/A,1.0
Frugal,17.3,11.89,1.46
Promising,2.8,1.68,1.67
